filters,features,loss,time,accuracy
0,10,0.19642353057861328,7.686523199081421,0.9196428656578064
0,20,0.24490199983119965,9.192859888076782,0.9077380895614624
0,40,0.1844402551651001,7.237750053405762,0.9285714030265808
0,80,0.4352535009384155,9.030657052993774,0.8779761791229248
1,10,0.08859330415725708,8.238208055496216,0.9791666865348816
1,20,0.06416689604520798,9.280173063278198,0.9910714030265808
1,40,0.0985240563750267,12.80027174949646,0.949404776096344
1,80,0.047633521258831024,18.59916400909424,0.9910714030265808
2,10,0.008424964733421803,12.948976039886475,0.9970238208770752
2,20,0.19221362471580505,8.986242055892944,0.9375
2,40,0.010326151736080647,11.62754487991333,0.9970238208770752
2,80,0.10464373975992203,12.141487121582031,0.9672619104385376
3,10,0.137025386095047,9.374027013778687,0.9523809552192688
3,20,0.04397527873516083,9.387149095535278,0.9910714030265808
3,40,0.07043641805648804,11.893829107284546,0.9851190447807312
3,80,0.38099297881126404,14.075587749481201,0.8898809552192688
