filters,layers,units,features,loss,accuracy,time
2,4,150,15,0.449513703584671,0.8848536014556885,67.11035084724426
2,4,150,20,0.2522332966327667,0.9376876950263977,47.504838705062866
2,4,150,25,0.3955329656600952,0.8943318128585815,53.83410906791687
2,4,200,15,0.3537498116493225,0.9070007801055908,47.28731083869934
2,4,200,20,0.3319604992866516,0.9077515006065369,54.840829849243164
2,4,200,25,0.23297105729579926,0.9390015006065369,78.51745104789734
2,4,250,15,0.3740372359752655,0.9045608043670654,54.700692892074585
2,4,250,20,0.39777103066444397,0.8949887156486511,61.61158490180969
2,4,250,25,0.18710309267044067,0.9519519805908203,44.71760296821594
2,6,150,15,0.477904736995697,0.8658971190452576,43.85364031791687
2,6,150,20,0.5412580370903015,0.8548235893249512,43.73969292640686
2,6,150,25,0.41208720207214355,0.888795018196106,44.12865471839905
2,6,200,15,0.3688036799430847,0.8952702879905701,31.540688037872314
2,6,200,20,0.43374839425086975,0.8819444179534912,47.510589838027954
2,6,200,25,0.2983696162700653,0.9213588833808899,48.822702169418335
2,6,250,15,0.2487538903951645,0.9349662065505981,43.29338192939758
2,6,250,20,0.3071303963661194,0.9117867946624756,43.171279191970825
2,6,250,25,0.2876583933830261,0.929804801940918,55.890305042266846
2,8,150,15,0.5691849589347839,0.8274211883544922,39.73256802558899
2,8,150,20,0.4320535361766815,0.8807244896888733,66.82826900482178
2,8,150,25,0.36225131154060364,0.9014639854431152,53.8147189617157
2,8,200,15,0.7040553092956543,0.8234797120094299,55.973050117492676
2,8,200,20,0.3575620949268341,0.8969594836235046,55.77534484863281
2,8,200,25,0.3565102517604828,0.9000563025474548,52.059617042541504
2,8,250,15,0.2609711289405823,0.9265202879905701,52.506385803222656
2,8,250,20,0.33772239089012146,0.9050300121307373,76.92544174194336
2,8,250,25,0.3484126925468445,0.9024962186813354,70.66654324531555
