X1,X2,X3,Y1,Y2,Y3
1,1,50,0.25882574915885925,5.080850839614868,0.9404761791229248
1,1,100,0.14018763601779938,4.168496131896973,0.9821428656578064
1,1,200,0.1159127801656723,6.156002998352051,0.988095223903656
1,1,400,0.3746441602706909,5.38592267036438,0.9732142686843872
1,2,50,0.27242082357406616,6.109778881072998,0.9345238208770752
1,2,100,0.07026602327823639,5.179986000061035,0.9910714030265808
1,2,200,0.03135240823030472,15.963827848434448,0.9910714030265808
1,2,400,0.31665730476379395,8.533276319503784,0.9523809552192688
1,4,50,0.1175113320350647,12.64828610420227,0.9642857313156128
1,4,100,0.13155128061771393,15.065919160842896,0.9642857313156128
1,4,200,0.027117762714624405,15.439054012298584,0.9940476417541504
1,4,400,0.17896141111850739,22.60462522506714,0.9345238208770752
1,8,50,0.0203854963183403,13.853890895843506,0.9910714030265808
1,8,100,0.027713332325220108,11.12525486946106,0.9970238208770752
1,8,200,0.17183059453964233,10.302556037902832,0.913690447807312
1,8,400,0.06037679314613342,25.225518703460693,0.9910714030265808
2,1,50,0.20957010984420776,9.892352104187012,0.9315476417541504
2,1,100,0.1907465159893036,5.652792930603027,0.9315476417541504
2,1,200,0.17433005571365356,4.900991916656494,0.976190447807312
2,1,400,0.11996082216501236,4.087916612625122,0.9821428656578064
2,2,50,0.06817068159580231,4.351270914077759,0.9821428656578064
2,2,100,0.06376601755619049,4.541055202484131,0.9821428656578064
2,2,200,0.03542976826429367,4.652318000793457,0.9851190447807312
2,2,400,0.06459477543830872,4.92832088470459,0.9791666865348816
2,4,50,0.1417868435382843,5.082261085510254,0.9375
2,4,100,0.08348043262958527,6.075154781341553,0.9791666865348816
2,4,200,0.05769322067499161,5.309866905212402,0.976190447807312
2,4,400,0.034152526408433914,6.968255996704102,0.9851190447807312
2,8,50,0.024035649374127388,6.698961973190308,0.9940476417541504
2,8,100,0.07175765931606293,6.691026926040649,0.9791666865348816
2,8,200,0.047680120915174484,7.1924519538879395,0.9910714030265808
2,8,400,0.6630463600158691,9.32738184928894,0.8214285969734192
