filters,layers,units,features,loss,accuracy,time
2,6,250,40,0.13537409901618958,0.9668731093406677,321.3703758716583
2,6,250,50,0.14044219255447388,0.9657469987869263,400.34053111076355
2,6,300,40,0.13531742990016937,0.9686561822891235,311.80299401283264
2,6,300,50,0.16675053536891937,0.9603040814399719,323.7822802066803
2,6,350,40,0.21501895785331726,0.9466966986656189,211.79934215545654
2,6,350,50,0.14479981362819672,0.9695945978164673,276.0782549381256
2,7,250,40,0.14263467490673065,0.963119387626648,259.08924293518066
2,7,250,50,0.1166410818696022,0.9710960984230042,284.57979798316956
2,7,300,40,0.16902194917201996,0.9588025808334351,241.36254620552063
2,7,300,50,0.257830947637558,0.9425675868988037,346.9021620750427
2,7,350,40,0.1300884634256363,0.9728791117668152,290.50348925590515
2,7,350,50,0.2594037353992462,0.9449136853218079,383.11777901649475
2,8,250,40,0.17727147042751312,0.9580518007278442,296.0000879764557
2,8,250,50,0.14925606548786163,0.9647147059440613,362.8968451023102
2,8,300,40,0.22020815312862396,0.9405968189239502,265.7743332386017
2,8,300,50,0.15305334329605103,0.9636824131011963,395.61390376091003
2,8,350,40,0.18165788054466248,0.960022509098053,377.35707998275757
2,8,350,50,0.1525210440158844,0.9651839137077332,518.6792089939117
