filters,layers,units,features,loss,accuracy,time
2,7,150,18,0.029253993183374405,0.9940476417541504,6.071303844451904
2,7,150,19,0.0492655448615551,0.988095223903656,5.759053945541382
2,7,150,20,0.07535215467214584,0.9851190447807312,6.221566200256348
2,7,200,18,0.09574083238840103,0.9672619104385376,6.589715242385864
2,7,200,19,0.015086318366229534,0.9940476417541504,5.2727696895599365
2,7,200,20,0.032658930867910385,0.9940476417541504,5.532174110412598
2,7,250,18,0.08016081899404526,0.9821428656578064,8.731923818588257
2,7,250,19,0.028958257287740707,0.988095223903656,9.597776174545288
2,7,250,20,0.03106013312935829,0.9940476417541504,11.30268120765686
2,8,150,18,0.06183713302016258,0.9851190447807312,9.341946840286255
2,8,150,19,0.06782804429531097,0.9821428656578064,7.841737270355225
2,8,150,20,0.03672580420970917,0.988095223903656,7.518705129623413
2,8,200,18,0.07056611031293869,0.9910714030265808,9.801356077194214
2,8,200,19,0.15574364364147186,0.9642857313156128,13.461175203323364
2,8,200,20,0.04495347663760185,0.9851190447807312,11.160948038101196
2,8,250,18,0.05513559654355049,0.9851190447807312,8.085730791091919
2,8,250,19,0.03169798105955124,0.988095223903656,6.201405048370361
2,8,250,20,0.01879914104938507,0.9970238208770752,6.058479070663452
2,9,150,18,0.08521117269992828,0.9732142686843872,7.25744104385376
2,9,150,19,0.07131300866603851,0.9791666865348816,6.666815996170044
2,9,150,20,0.080403171479702,0.9642857313156128,6.116689920425415
2,9,200,18,0.2156497836112976,0.9404761791229248,5.963091850280762
2,9,200,19,0.05544326454401016,0.9910714030265808,6.588132858276367
2,9,200,20,0.051014047116041183,0.9851190447807312,6.632534980773926
2,9,250,18,0.13899719715118408,0.949404776096344,5.983911991119385
2,9,250,19,0.5209670066833496,0.824404776096344,6.084284782409668
2,9,250,20,0.03959178179502487,0.988095223903656,6.316014051437378
